"today","region","sex","age","married","christ","children","education","gaccra","pay_bribe","surveyChoice","rand_number","rand_number6","rand_number2_2","rand_number2_3","rand_number2_4","rand_number2_5","rand_number2_6","gender","corrupt","financial_pressure","john","ethnic_1","ethnic_2","ethnic_3","ethnic_4","ethnic_5","ethnic_6","ethnic_7","ethnic_8","ethnic_9","ethnic_10","ethnic_11","ethnic_12","ethnic_13","ethnic_14","ethnic_15","ethnic_16","ethnic_17","ethnic_18","ethnic_19","ethnic_20","ethnic_21"
"18-Sep-17",3,1,90,1,1,5,1,0,NA,5,NA,0.097114576,NA,NA,NA,0.539489832,NA,1,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",3,1,42,1,0,3,3,0,NA,2,NA,0.131420102,0.32248504,NA,NA,NA,NA,7,1,NA,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"18-Sep-17",3,0,30,1,1,3,4,0,NA,1,0.691717269,0.749947574,NA,NA,NA,NA,NA,1,7,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,45,1,1,2,5,1,NA,5,NA,0.951530277,NA,NA,NA,0.577059874,NA,1,7,400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,37,0,1,0,1,1,NA,3,NA,0.854715574,NA,0.420657913,NA,NA,NA,2,6,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,64,1,1,6,6,1,NA,1,0.831579894,0.875050949,NA,NA,NA,NA,NA,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,33,1,1,4,5,1,1,1,0.308604307,0.87723247,NA,NA,NA,NA,NA,7,1,500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",3,1,81,1,1,23,6,0,NA,4,NA,0.971795869,NA,NA,0.194423631,NA,NA,4,4,400,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",3,0,26,1,0,3,3,0,NA,1,0.588369988,0.135125374,NA,NA,NA,NA,NA,2,6,200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"18-Sep-17",3,1,83,1,1,12,6,0,1,3,NA,0.937926832,NA,0.062612976,NA,NA,NA,1,7,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"18-Sep-17",3,1,35,1,0,2,1,0,NA,4,NA,0.95621773,NA,NA,0.830129422,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",3,0,18,0,1,0,6,0,NA,1,0.286358711,0.035578015,NA,NA,NA,NA,NA,7,1,300,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,31,1,1,3,3,1,NA,1,0.296512683,0.988677017,NA,NA,NA,NA,NA,1,7,200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,65,1,1,5,5,1,1,1,0.58072785,0.549753225,NA,NA,NA,NA,NA,1,7,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"18-Sep-17",1,1,26,0,1,0,6,1,NA,5,NA,0.413379492,NA,NA,NA,0.429473729,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,33,1,1,2,1,1,NA,3,NA,0.833082422,NA,0.816425976,NA,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
